Code Structure;Nom Structure;Nom Court Structure;longitude;latitude
1285113;LES GARNA'ARCHERS;LA GARNACHE;46,89127° N;1,83047° O
1285114;LES CARQUOIS DE GRASLA;LA RABATELIERE;46,86124° N;1,25734° O
1285115;TIR A L'ARC DE CHATAIGNERAIE;LA CHATAIGNERAIE;46,64987° N;0,74040° O
1285116;CLUB DES ARCHERS DE CHANTONNAY;CHANTONNAY;46,68597° N;1,04972° O
1285117;ARCHERS DE ST GILLES CROIX VIE;ST GILLES CROIX DE VIE;46,69759° N;1,94482° O
1285119;LES ARCHERS MONTOIS;SAINT JEAN DE MONTS;46,78731° N;2,07140° O
1285121;LES ARCHERS DE LA DIGUE;MONTAIGU;46,97428° N;1,31378° O
1285122;TIR ARC FONTENAISIEN;FONTENAY LE COMTE;46,46339° N;0,79768° O
1285123;LES ARCHERS DU PAYS DU GOIS;BEAUVOIR SUR MER;46,91505° N;2,04142° O
1285124;ARCHERS DE GROSBREUIL;GROSBREUIL;46,54000° N;1,61592° O
1285125;ARCHERS DE BARBATRE;BARBATRE;46,94384° N;2,18073° O
1285126;CIE D'ARCHERS SAINT GEORGES;ROCHE SUR YON;46,66995° N;1,43196° O
1285128;LES ARCHERS DU HAUT BOCAGE;POUZAUGES;46,78258° N;0,83772° O
1285129;LES ARCHERS ST AUBINOIS;ST AUBIN;46,99098° N;1,04667° O
1285130;ARCHERS DE LA CHOUANNERIE;LES MAGNILS REIGNIERS;46,47955° N;1,21934° O
1285131;AMICALE DU BEIGNON BASSET;BEIGNON BASSET;46,72647° N;1,42031° O
1285132;LES ARCHERS SABLAIS;LES SABLES D'OLONNE;46,49669° N;1,78413° O
1285133;L'ARCHER CLUB D'AIZENAY;AIZENAY;46,73899° N;1,60782° O
1285134;ARCHERS CHALLANDAIS;CHALLANS;46,84502° N;1,87965° O
1285135;ARCHERS RICHELIEU;LUCON;46,45597° N;1,16660° O
1285138;LES ROBINS DES FOY;SAINTE FOY;46,54577° N;1,67200° O
1285141;LES FLECHES D ALIENOR;TALMONT SAINT HILAIRE;46,46527° N;1,61789° O
1285142;SOCIÉTÉ DE TIR À L'ARC LA CHÂTAIGNERAIE;LA CHATAIGNERAIE;46,64989° N;0,74040° O
1285143;ARCHERY LEGACY VENDÉE;LA GARNACHE;46,89110° N;1,83047° O
